,antecedants,consequents,support,confidence
0,"frozenset({'QGenotypePhenotype', 'QAmpicillin', 'QGreenFluorescence', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer', 'QDeviceRbsPconsAmprTer'})",frozenset({'QDeviceGfpRbsPconsTer'}),37,0.9736842105263158
1,"frozenset({'QDeviceRbsPconsAmprTer', 'QGenotypePhenotype', 'QGreenFluorescence', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer'})","frozenset({'QDeviceGfpRbsPconsTer', 'QAmpicillin'})",37,0.8409090909090909
2,"frozenset({'QDeviceRbsPconsAmprTer', 'QGenotypePhenotype', 'QAmpicillin', 'QGreenFluorescence', 'QDeviceRbsPconsFlhdcTer'})","frozenset({'QDeviceGfpRbsPconsTer', 'QDeviceAmprRbsPconsTer'})",37,0.925
3,"frozenset({'QDeviceRbsPconsFlhdcTer', 'QGenotypePhenotype', 'QGreenFluorescence', 'QDeviceRbsPconsAmprTer'})","frozenset({'QDeviceGfpRbsPconsTer', 'QAmpicillin', 'QDeviceAmprRbsPconsTer'})",37,0.8043478260869565
4,"frozenset({'QAmpicillin', 'QGreenFluorescence', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer', 'QDeviceGfpRbsPconsTer', 'QDeviceRbsPconsAmprTer'})",frozenset({'QGenotypePhenotype'}),37,0.925
5,"frozenset({'QDeviceRbsPconsAmprTer', 'QDeviceGfpRbsPconsTer', 'QGreenFluorescence', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer'})","frozenset({'QGenotypePhenotype', 'QAmpicillin'})",37,0.7872340425531915
6,"frozenset({'QDeviceRbsPconsAmprTer', 'QDeviceGfpRbsPconsTer', 'QAmpicillin', 'QGreenFluorescence', 'QDeviceRbsPconsFlhdcTer'})","frozenset({'QGenotypePhenotype', 'QDeviceAmprRbsPconsTer'})",37,0.9024390243902439
7,"frozenset({'QDeviceGfpRbsPconsTer', 'QGreenFluorescence', 'QDeviceRbsPconsFlhdcTer', 'QDeviceRbsPconsAmprTer'})","frozenset({'QGenotypePhenotype', 'QAmpicillin', 'QDeviceAmprRbsPconsTer'})",37,0.7708333333333334
8,"frozenset({'QDeviceAmprRbsPconsTer', 'QDeviceGfpRbsPconsTer', 'QAmpicillin', 'QGreenFluorescence', 'QDeviceRbsPconsAmprTer'})","frozenset({'QGenotypePhenotype', 'QDeviceRbsPconsFlhdcTer'})",37,0.925
9,"frozenset({'QDeviceGfpRbsPconsTer', 'QAmpicillin', 'QGreenFluorescence', 'QDeviceRbsPconsAmprTer'})","frozenset({'QGenotypePhenotype', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer'})",37,0.9024390243902439
10,"frozenset({'QDeviceGfpRbsPconsTer', 'QGreenFluorescence', 'QDeviceRbsPconsAmprTer'})","frozenset({'QGenotypePhenotype', 'QAmpicillin', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer'})",37,0.7708333333333334
11,"frozenset({'QAmpicillin', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsAmprTer', 'QGreenFluorescence'})","frozenset({'QDeviceGfpRbsPconsTer', 'QGenotypePhenotype', 'QDeviceRbsPconsFlhdcTer'})",37,0.9024390243902439
12,"frozenset({'QGreenFluorescence', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsAmprTer'})","frozenset({'QDeviceGfpRbsPconsTer', 'QGenotypePhenotype', 'QAmpicillin', 'QDeviceRbsPconsFlhdcTer'})",37,0.7708333333333334
13,"frozenset({'QAmpicillin', 'QGreenFluorescence', 'QDeviceRbsPconsAmprTer'})","frozenset({'QDeviceGfpRbsPconsTer', 'QGenotypePhenotype', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer'})",37,0.8604651162790697
14,"frozenset({'QDeviceGfpRbsPconsTer', 'QGreenFluorescence', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsAmprTer'})","frozenset({'QGenotypePhenotype', 'QAmpicillin', 'QDeviceRbsPconsFlhdcTer'})",37,0.7872340425531915
15,"frozenset({'QDeviceGfpRbsPconsTer', 'QAmpicillin', 'QDeviceAmprRbsPconsTer', 'QGreenFluorescence'})","frozenset({'QDeviceRbsPconsAmprTer', 'QGenotypePhenotype', 'QDeviceRbsPconsFlhdcTer'})",37,0.9024390243902439
16,"frozenset({'QAmpicillin', 'QDeviceAmprRbsPconsTer', 'QGreenFluorescence'})","frozenset({'QDeviceRbsPconsAmprTer', 'QDeviceGfpRbsPconsTer', 'QGenotypePhenotype', 'QDeviceRbsPconsFlhdcTer'})",37,0.8809523809523809
17,"frozenset({'QGreenFluorescence', 'QDeviceAmprRbsPconsTer'})","frozenset({'QDeviceRbsPconsAmprTer', 'QDeviceGfpRbsPconsTer', 'QGenotypePhenotype', 'QAmpicillin', 'QDeviceRbsPconsFlhdcTer'})",37,0.7551020408163265
18,"frozenset({'QDeviceGfpRbsPconsTer', 'QGreenFluorescence', 'QDeviceAmprRbsPconsTer'})","frozenset({'QDeviceRbsPconsAmprTer', 'QGenotypePhenotype', 'QAmpicillin', 'QDeviceRbsPconsFlhdcTer'})",37,0.7708333333333334
19,"frozenset({'QDeviceGfpRbsPconsTer', 'QAmpicillin', 'QGreenFluorescence'})","frozenset({'QDeviceRbsPconsAmprTer', 'QGenotypePhenotype', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer'})",37,0.8604651162790697
20,"frozenset({'QDeviceRbsPconsAmprTer', 'QDeviceAmprRbsPconsTer', 'QAmpicillin', 'QGreenFluorescence', 'QDeviceRbsPconsFlhdcTer'})","frozenset({'QDeviceGfpRbsPconsTer', 'QGenotypePhenotype'})",37,0.9024390243902439
21,"frozenset({'QDeviceRbsPconsFlhdcTer', 'QAmpicillin', 'QGreenFluorescence', 'QDeviceRbsPconsAmprTer'})","frozenset({'QDeviceGfpRbsPconsTer', 'QGenotypePhenotype', 'QDeviceAmprRbsPconsTer'})",37,0.8604651162790697
22,"frozenset({'QDeviceRbsPconsFlhdcTer', 'QGreenFluorescence', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsAmprTer'})","frozenset({'QDeviceGfpRbsPconsTer', 'QGenotypePhenotype', 'QAmpicillin'})",37,0.7708333333333334
23,"frozenset({'QDeviceAmprRbsPconsTer', 'QDeviceGfpRbsPconsTer', 'QAmpicillin', 'QGreenFluorescence', 'QDeviceRbsPconsFlhdcTer'})","frozenset({'QGenotypePhenotype', 'QDeviceRbsPconsAmprTer'})",37,0.9024390243902439
24,"frozenset({'QDeviceGfpRbsPconsTer', 'QAmpicillin', 'QGreenFluorescence', 'QDeviceRbsPconsFlhdcTer'})","frozenset({'QGenotypePhenotype', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsAmprTer'})",37,0.8604651162790697
25,"frozenset({'QAmpicillin', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer', 'QGreenFluorescence'})","frozenset({'QDeviceGfpRbsPconsTer', 'QGenotypePhenotype', 'QDeviceRbsPconsAmprTer'})",37,0.8809523809523809
26,"frozenset({'QGreenFluorescence', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer'})","frozenset({'QDeviceGfpRbsPconsTer', 'QGenotypePhenotype', 'QAmpicillin', 'QDeviceRbsPconsAmprTer'})",37,0.7551020408163265
27,"frozenset({'QDeviceGfpRbsPconsTer', 'QGreenFluorescence', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer'})","frozenset({'QGenotypePhenotype', 'QAmpicillin', 'QDeviceRbsPconsAmprTer'})",37,0.7708333333333334
28,"frozenset({'QGenotypePhenotype', 'QGreenFluorescence', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer', 'QDeviceGfpRbsPconsTer', 'QDeviceRbsPconsAmprTer'})",frozenset({'QAmpicillin'}),37,0.8604651162790697
29,"frozenset({'QGenotypePhenotype', 'QAmpicillin', 'QDeviceAmprRbsPconsTer', 'QDeviceRbsPconsFlhdcTer', 'QDeviceGfpRbsPconsTer', 'QDeviceRbsPconsAmprTer'})",frozenset({'QGreenFluorescence'}),37,0.9024390243902439
