"Timestamp","Vous intéressez-vous aux jeux vidéos ?","Jouez-vous aux jeux vidéos ?","Quel âge avez-vous ?","Quel est votre sexe ?","Combien de temps avez-vous étudié la biologie ?","Vous intéressez-vous à la biologie ?","Avant de jouer à Hero.Coli, aviez-vous déjà entendu parler de la biologie de synthèse ?","Avant de jouer à Hero.Coli, aviez-vous déjà entendu parler des BioBriques ?","Aviez-vous déjà joué à une ancienne version d'Hero.Coli auparavant ?","Avez-vous joué à la version actuelle d'Hero.Coli ?","Avez-vous joué à la version borne d'arcade d'Hero.Coli ?","Avez-vous joué à la version Android d'Hero.Coli ?","Pour modifier les capacités de la bactérie il faut...","Que sont les BioBriques et les constructions ?","Trouvez le nom de cette BioBrique :","Trouvez le nom de cette BioBrique :","Trouvez le nom de cette BioBrique :","Trouvez le nom de cette BioBrique :","Que fait cette brique ?","Que fait cette brique ?","Que fait cette brique ?","Que fait cette brique ?","Dans quel cas les BioBriques sont-elles dans le bon ordre ?","Quand la fluorescence verte se produit-elle ?","Que se passe-t-il quand on enlève la construction génétique de déplacement ?","Qu'est-ce que c'est ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Imaginez : que ferait une construction produisant de la l-arabinose, débutant par un promoteur induit à la l-arabinose ?","Imaginez : la bactérie deviendrait jaune fluorescent...","Quelle est l'espèce de la bactérie du jeu ?","Quel est le nom scientifique des queues des bactéries ?","Trouvez l'antibiotique dans la liste :","Mettez ici vos remarques puis validez.","Ne pas modifier - identifiant anonyme prérempli"
"2017/05/13 8:51:52 AM GMT+1","Beaucoup","Moyennement","13","Homme","Jamais","Beaucoup","Non","","Non","","","","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Prémoteur","Séquence Codante","RBS","","","","","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un promoteur induit, qui ne fonctionne que dans l'arabinose","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte","Je ne sais pas","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","Je ne sais pas","Si elle produit de la BFP sous lumière violette","Cellia","Des flagelles","Arabinose","","a4d4b030-9117-4331-ba48-90dc05a7e65a"
"2017/05/13 3:03:03 PM GMT+1","Moyennement","Beaucoup","13","Homme","Jamais","Un peu","Non","","Non","","","","Injecter des molécules","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","","","","","Option 3","Sous lumière bleue, quand la construction GFP est équipée","La bactérie devient lumineuse","Un plasmide - un moyen d'équiper une construction supplémentaire","Je ne sais pas","Je ne sais pas","Elle permet de résister aux antibiotiques","Je ne sais pas","Je ne sais pas","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Je ne sais pas","Je ne sais pas","Je ne sais pas","Cellia","Des flagelles","Ampicilline","Le jeux est sympa et le concept est bon malgré les quelques bugs","d6826fd9-a6fc-4046-b974-68e50576183f"
"2017/05/13 4:06:06 PM GMT+1","Moyennement","Un peu","22","Homme","Jusqu'au bac","Un peu","Oui","","Non","","","","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","","","","","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Je ne sais pas","Je ne sais pas","Je ne sais pas","Des flagelles","Ampicilline","","a4d4b030-9117-4331-ba48-90dc05a7e65a"
"2017/06/09 5:54:51 PM GMT+1","Je ne sais pas","Beaucoup","8 ","Je ne souhaite pas le préciser","Jamais","Pas du tout","Non","","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","deb089c0-9be3-4b75-9b27-28963c77b10c"
"2017/06/09 6:17:53 PM GMT+1","Moyennement","Moyennement","53","Femme","Jusqu'au bac","Moyennement","Oui","","Non","Oui","","","Modifier l'ADN de la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Ribosome","RBS","","","","","Option 3","Je ne sais pas","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","Je ne sais pas","Elle permet de se déplacer plus vite","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","Je ne sais pas","Je ne sais pas","Je ne sais pas","E. Coli","Des flagelles","Je ne sais pas","","75e264d6-af94-4975-bb18-50cac09894c4"
"2017/06/13 8:17:20 PM GMT+1","Beaucoup","Beaucoup","21","Homme","Jusqu'au bac","Moyennement","Je ne sais pas","","Non","Oui","","","Modifier l'ADN de la bactérie","Des séquences d'ADN","Transposeur","Promoteur","Je ne sais pas","RBS","","","","","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","Elle produit la fluorescence verte en présence de l-arabinose","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","Je ne sais pas","Je ne sais pas","E. Coli","Des flagelles","Ampicilline","Super jeu, il paraît parfait pour découvrir ce domaine, dommage que le gameplay soit si pesant, il complique l'aventure et empêche quelque peu la progression. Cela explique bon nombre de ""je ne sais pas"" que j'ai renseignés dans le formulaire, j'ai en quelque sorte abandonné au chapitre deux, à force d'être éradiqué par l'antibiotique. Bonne continuation pour votre projet, j'espère que mes réponses vous aideront et vous encourageront à poursuivre sur cette voie !

ps : la musique est ravisante, quoi qu'un peu entêtante à force de ""rebouclage"" ;)","3d733347-0313-441a-b77c-3e4046042a53"
"2017/10/12 2:05:21 PM GMT+1","Moyennement","Pas du tout","19","Femme","Jusqu'à la license","Enormément","Je ne sais pas","","Non","De nombreuses fois","","","Modifier l'ADN de la bactérie","Des gènes","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle contrôle quelle capacité est affectée, en codant quelle protéine est produite par la contruction","Elle contrôle quand la construction est active","Je ne sais pas","Sous lumière bleue, quand la construction GFP est équipée","Je ne sais pas","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Je ne sais pas","Elle permet de résister aux antibiotiques","Je ne sais pas","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","01e85778-2903-447b-bbab-dd750564ee2d"
"2017/10/12 3:15:02 PM GMT+1","Moyennement","Un peu","19 ","Femme","Jusqu'à la license","Enormément","Oui","Non","Non","Quelques fois","","","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Rien","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","les flèches !!! sous linux ","01e85778-2903-447b-bbab-dd750564ee2d"
"2017/10/16 12:48:03 PM GMT+1","Moyennement","Moyennement","18","Homme","Jusqu'à la license","Enormément","Oui","Je ne sais pas","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des acides aminés","Terminateur","Promoteur","Ribosome","Je ne sais pas","Je ne sais pas","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Je ne sais pas","Je ne sais pas","Option 2","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","E. Coli","Je ne sais pas","Ampicilline","","7c8320de-0489-4092-be86-d323064c3dd9"
"2017/10/16 12:48:39 PM GMT+1","Moyennement","Un peu","18","Femme","Jusqu'à la license","Beaucoup","Oui","Je ne sais pas","Non","Non","Non","","Je ne sais pas","Je ne sais pas","Transcripteur","Je ne sais pas","Je ne sais pas","ATP","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Je ne sais pas","Devant les portes, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la RFP sous lumière jaune","E. Coli","Des flagelles","Ampicilline","Il me manque des connaissances","e87957e0-2aa7-48b9-9ee8-86e25e45a8ab"
